"","lat","lon","agency","town","agency_url","gtfs_url"
"1",52.132633,5.291266,"OVapi Vehicle Positions","The Netherlands","https://datahub.io/dataset/gtfs-nl","http://gtfs.ovapi.nl/new/vehiclePositions.pb"
"2",52.132633,5.291266,"OVapi Trip Updates","The Netherlands","https://datahub.io/dataset/gtfs-nl","http://gtfs.ovapi.nl/new/tripUpdates.pb"
"3",52.132633,5.291266,"OVapi Train Trip Updates","The Netherlands","https://datahub.io/dataset/gtfs-nl","http://gtfs.ovapi.nl/new/trainUpdates.pb"
"4",52.132633,5.291266,"OVapi Service Alerts","The Netherlands","https://datahub.io/dataset/gtfs-nl","http://gtfs.ovapi.nl/new/alerts.pb"
"5",44.648862,-63.57532,"MetroTransit Service Alerts","Halifax, NS, Canada","http://www.halifax.ca/opendata/transit.php","http://gtfs.halifax.ca/realtime/Alert/Alerts.pb"
"6",44.648862,-63.57532,"MetroTransit Trip Updates","Halifax, NS, Canada","http://www.halifax.ca/opendata/transit.php","http://gtfs.halifax.ca/realtime/TripUpdate/TripUpdates.pb"
"7",44.648862,-63.57532,"MetroTransit Vehicle Positions","Halifax, NS, Canada","http://www.halifax.ca/opendata/transit.php","http://gtfs.halifax.ca/realtime/Vehicle/VehiclePositions.pb"
"8",43.589045,-79.64412,"MiWay Vehicle Positions","Mississauga, ON, Canada","http://www.mississauga.ca/portal/miway/developerdownload","https://www.miapp.ca/GTFS_RT/Vehicle/VehiclePositions.pb"
"9",49.815273,6.129583,"Luxembourg Trip Updates","Luxembourg",NA,"http://openov.lu/gtfs-rt/tripUpdates.pb"
"10",29.210815,-81.022833,"Votran Trip Updates","Daytona Beach, FL, USA","http://www.votran.org/about-us/data.stml","http://realtimevotran.availtec.com/infopoint/GTFS-Realtime.ashx?&Type=TripUpdate"
"11",29.210815,-81.022833,"Votran Vehicle Positions","Daytona Beach, FL, USA","http://www.votran.org/about-us/data.stml","http://realtimevotran.availtec.com/infopoint/GTFS-Realtime.ashx?&Type=VehiclePosition"
"12",43.589045,-79.64412,"MiWay Trip Updates","Mississauga, ON, Canada","http://www.mississauga.ca/portal/miway/developerdownload","https://www.miapp.ca/GTFS_RT/TripUpdate/TripUpdates.pb"
"13",43.073052,-89.40123,"Metro Transit Vehicle Positions","Madison, WI, USA","http://www.cityofmadison.com/metro/Apps/developers.cfm","http://transitdata.cityofmadison.com/Vehicle/VehiclePositions.pb"
"14",43.073052,-89.40123,"Metro Transit Trip Updates","Madison, WI, USA","http://www.cityofmadison.com/metro/Apps/developers.cfm","http://transitdata.cityofmadison.com/TripUpdate/TripUpdates.pb"
"15",43.073052,-89.40123,"Metro Transit Service Alerts","Madison, WI, USA","http://www.cityofmadison.com/metro/Apps/developers.cfm","http://transitdata.cityofmadison.com/Alert/Alerts.pb"
"16",61.218056,-149.900278,"People Mover Trip Updates","Anchorage, AK, USA",NA,"http://gtfs-rt.codeforanchorage.org/people_mover.pb"
"17",39.045755,-76.641271,"MTA Maryland Trip Updates","Maryland, USA","https://mta.maryland.gov/content/developer-resources","http://gtfsrt.mta.maryland.gov:8888/TMGTFSRealTimeWebService/TripUpdate/TripUpdates.pb"
"18",39.045755,-76.641271,"MTA Maryland Vehicle Locations","Maryland, USA","https://mta.maryland.gov/content/developer-resources","http://gtfsrt.mta.maryland.gov:8888/TMGTFSRealTimeWebService/Vehicle/VehiclePositions.pb"
"19",30.267153,-97.743061,"Capital Metro Trip Updates","Austin, TX, USA","https://www.capmetro.org/metrolabs/","https://data.texas.gov/download/rmk2-acnw/application/octet-stream"
"20",39.961176,-82.998794,"COTA Vehicle Positions","Columbus, OH, USA","http://www.cota.com/Auxiliary/Data.aspx","http://realtime.cota.com/TMGTFSRealTimeWebService/Vehicle/VehiclePositions.pb"
"21",39.961176,-82.998794,"COTA Trip Updates","Columbus, OH, USA","http://www.cota.com/Auxiliary/Data.aspx","http://realtime.cota.com/TMGTFSRealTimeWebService/TripUpdate/TripUpdates.pb"
"22",43.464258,-80.52041,"GRT Trip Updates","Waterloo, ON, Canada","http://www.regionofwaterloo.ca/en/regionalGovernment/GRT_GTFSdata.asp","http://192.237.29.212:8080/gtfsrealtime/TripUpdates"
"23",43.464258,-80.52041,"GRT Vehicle Positions","Waterloo, ON, Canada","http://www.regionofwaterloo.ca/en/regionalGovernment/GRT_GTFSdata.asp","http://192.237.29.212:8080/gtfsrealtime/VehiclePositions"
"24",33.717471,-117.831143,"OCTA Trip Updates","Orange County, CA, USA","http://api.octa.net/GTFSRealTime/default.aspx","http://api.octa.net/GTFSRealTime/protoBuf/tripupdates.aspx"
"25",33.717471,-117.831143,"OCTA Service Alerts","Orange County, CA, USA","http://api.octa.net/GTFSRealTime/default.aspx","http://api.octa.net/GTFSRealTime/protoBuf/servicealerts.aspx"
"26",33.717471,-117.831143,"OCTA Vehicle Positions","Orange County, CA, USA","http://api.octa.net/GTFSRealTime/default.aspx","http://api.octa.net/GTFSRealTime/protoBuf/VehiclePositions.aspx"
"27",53.544389,-113.490927,"ETS Vehicle Positions","Edmonton, AB, Canada","https://data.edmonton.ca/Transit/Real-Time-Vehicle-Position-GTFS-PB-File-/7qed-k2fc","https://data.edmonton.ca/download/7qed-k2fc/application/octet-stream"
"28",53.544389,-113.490927,"ETA Trip Updates","Edmonton, AB, Canada","https://data.edmonton.ca/Transit/Real-Time-Trip-Updates-GTFS-PB-File-/uzpc-8bnm","https://data.edmonton.ca/download/uzpc-8bnm/application/octet-stream"
"29",39.103118,-84.51202,"Cincinnati Metro Trip Updates","Cincinnati, OH, USA","http://www.go-metro.com/about-metro/developer-data","http://developer.go-metro.com/TMGTFSRealTimeWebService/TripUpdate/TripUpdates.pb"
